student_id,name,class,comprehension,attention,focus,retention,engagement_time,assessment_score,cluster,persona
96,Student_096,B,55.1,74.2,81.4,75.9,25.4,57.8,3,Distracted Low Engagement
97,Student_097,B,95.6,73.4,57.0,67.1,35.7,67.4,3,Distracted Low Engagement
98,Student_098,D,46.6,81.2,49.4,47.1,54.2,51.8,0,Engaged High Achiever
99,Student_099,B,68.2,77.5,42.3,62.0,60.7,56.0,0,Engaged High Achiever
100,Student_100,A,77.1,71.9,75.1,56.2,40.0,58.8,1,Needs Attention
101,Student_101,C,73.4,63.9,52.6,70.1,33.0,57.9,3,Distracted Low Engagement
102,Student_102,B,62.5,40.1,37.9,83.4,73.4,53.6,2,Steady Learner
103,Student_103,B,67.5,71.4,73.4,41.6,79.8,66.6,2,Steady Learner
104,Student_104,D,64.1,68.1,100.0,67.5,64.6,66.3,1,Needs Attention
105,Student_105,B,62.9,69.1,67.9,63.9,46.7,59.2,0,Engaged High Achiever
106,Student_106,B,80.2,45.8,79.7,74.7,28.8,58.6,3,Distracted Low Engagement
107,Student_107,B,74.3,48.8,69.1,68.8,28.4,59.9,3,Distracted Low Engagement
108,Student_108,D,61.7,80.8,66.6,56.2,55.5,58.1,0,Engaged High Achiever
109,Student_109,B,80.8,64.4,80.9,61.9,53.4,71.9,1,Needs Attention
110,Student_110,C,73.7,75.2,63.9,55.7,73.0,55.0,2,Steady Learner
111,Student_111,D,79.8,65.4,71.7,80.0,58.0,67.4,1,Needs Attention
112,Student_112,C,77.6,65.4,72.5,66.3,14.9,66.6,3,Distracted Low Engagement
113,Student_113,D,60.1,79.1,58.6,90.7,66.0,67.5,0,Engaged High Achiever
114,Student_114,B,63.3,57.3,81.9,65.2,25.0,76.9,3,Distracted Low Engagement
115,Student_115,C,79.0,66.4,65.6,56.8,37.3,65.9,3,Distracted Low Engagement
116,Student_116,D,77.3,58.1,57.4,46.3,50.0,52.6,2,Steady Learner
117,Student_117,A,69.7,58.5,75.5,42.6,84.9,60.7,2,Steady Learner
118,Student_118,B,71.4,60.4,55.4,45.4,107.2,49.1,2,Steady Learner
119,Student_119,D,85.3,68.3,68.4,69.5,57.1,69.2,2,Steady Learner
120,Student_120,A,62.9,57.8,67.9,72.6,41.3,54.9,3,Distracted Low Engagement
121,Student_121,D,76.6,83.8,83.2,45.4,55.7,75.7,1,Needs Attention
122,Student_122,A,67.6,51.6,74.6,77.6,62.8,59.6,2,Steady Learner
123,Student_123,B,67.4,62.2,67.6,59.7,38.6,59.5,3,Distracted Low Engagement
124,Student_124,C,83.2,58.4,79.4,67.9,80.9,65.9,2,Steady Learner
125,Student_125,A,79.9,86.7,87.5,87.0,49.6,89.1,1,Needs Attention
126,Student_126,D,79.8,67.9,75.8,77.7,55.0,68.5,1,Needs Attention
127,Student_127,B,85.7,80.5,68.1,62.5,58.3,82.7,1,Needs Attention
128,Student_128,A,70.3,42.7,49.6,54.4,53.4,57.4,2,Steady Learner
129,Student_129,D,78.2,69.0,53.1,38.0,61.8,63.0,2,Steady Learner
130,Student_130,D,66.3,78.3,63.7,56.7,32.7,64.6,0,Engaged High Achiever
131,Student_131,D,73.9,66.2,59.5,63.3,33.8,64.2,3,Distracted Low Engagement
132,Student_132,A,68.4,81.0,65.4,53.2,23.0,51.4,0,Engaged High Achiever
133,Student_133,A,71.2,57.2,68.8,64.3,53.8,60.1,2,Steady Learner
134,Student_134,A,77.1,86.1,75.4,67.0,60.6,77.9,1,Needs Attention
135,Student_135,C,60.2,99.5,67.0,63.1,54.2,68.2,0,Engaged High Achiever
136,Student_136,A,95.1,59.6,74.8,57.5,78.5,62.5,2,Steady Learner
137,Student_137,A,57.9,58.3,68.9,68.2,44.9,57.9,3,Distracted Low Engagement
138,Student_138,A,55.4,86.8,40.3,71.7,58.4,70.3,0,Engaged High Achiever
139,Student_139,C,83.9,88.7,54.8,51.8,23.2,74.7,0,Engaged High Achiever
140,Student_140,A,79.5,57.2,66.0,84.3,37.3,65.5,3,Distracted Low Engagement
141,Student_141,D,77.5,58.7,51.1,64.7,58.9,66.5,2,Steady Learner
142,Student_142,A,77.5,60.8,76.4,66.2,62.0,64.6,1,Needs Attention
143,Student_143,D,69.9,44.8,89.4,75.2,39.1,53.1,1,Needs Attention
144,Student_144,D,59.2,51.2,85.1,69.0,43.6,54.6,1,Needs Attention
145,Student_145,D,70.9,49.9,65.0,78.4,14.6,68.6,3,Distracted Low Engagement
146,Student_146,C,61.9,53.5,88.9,69.7,37.9,60.4,1,Needs Attention
147,Student_147,C,81.7,64.5,70.1,58.0,62.8,65.0,2,Steady Learner
148,Student_148,C,68.2,68.5,63.3,70.7,56.5,61.9,0,Engaged High Achiever
149,Student_149,A,60.1,88.3,59.4,51.1,55.0,73.8,0,Engaged High Achiever
150,Student_150,D,66.1,50.0,63.8,67.4,46.0,67.3,2,Steady Learner
151,Student_151,C,75.0,79.8,62.6,65.6,45.1,80.3,0,Engaged High Achiever
152,Student_152,C,63.2,61.8,70.4,63.3,31.8,58.6,3,Distracted Low Engagement
153,Student_153,A,60.1,64.3,70.2,64.3,59.0,62.5,2,Steady Learner
154,Student_154,C,72.9,75.1,68.0,41.5,53.4,54.1,2,Steady Learner
155,Student_155,A,72.9,48.2,74.1,58.9,54.8,69.2,2,Steady Learner
156,Student_156,B,63.9,70.7,84.7,67.2,34.5,58.6,1,Needs Attention
157,Student_157,C,64.3,67.5,81.3,68.1,1.9,64.0,3,Distracted Low Engagement
158,Student_158,B,72.8,72.4,47.2,52.6,66.9,54.0,2,Steady Learner
159,Student_159,A,52.6,69.3,32.2,82.5,35.4,50.2,0,Engaged High Achiever
160,Student_160,D,53.1,100.0,81.1,54.7,27.7,61.7,0,Engaged High Achiever
161,Student_161,C,61.4,55.4,48.9,78.6,58.9,53.1,2,Steady Learner
162,Student_162,A,67.4,57.0,64.9,71.6,37.2,56.8,3,Distracted Low Engagement
163,Student_163,D,73.7,55.7,51.6,57.6,66.2,55.0,2,Steady Learner
164,Student_164,D,87.7,56.7,42.8,89.1,57.3,70.3,2,Steady Learner
165,Student_165,B,80.3,55.4,75.6,50.5,58.7,56.9,2,Steady Learner
166,Student_166,A,68.1,82.8,78.6,77.9,17.7,70.8,3,Distracted Low Engagement
167,Student_167,D,69.8,86.3,59.9,79.0,69.2,77.1,0,Engaged High Achiever
168,Student_168,C,58.0,56.4,31.7,57.3,50.2,45.9,2,Steady Learner
169,Student_169,C,69.8,52.5,60.4,84.1,37.6,56.3,3,Distracted Low Engagement
170,Student_170,B,66.5,72.1,73.5,62.7,47.9,63.1,1,Needs Attention
171,Student_171,D,73.9,56.7,47.3,69.8,9.5,63.8,3,Distracted Low Engagement
172,Student_172,A,60.1,74.5,70.6,69.4,53.2,65.0,0,Engaged High Achiever
173,Student_173,C,76.2,68.0,67.8,64.3,24.4,61.1,3,Distracted Low Engagement
174,Student_174,D,88.4,42.3,76.1,76.5,17.9,67.6,3,Distracted Low Engagement
175,Student_175,D,68.7,88.2,69.7,76.3,14.6,62.2,3,Distracted Low Engagement
176,Student_176,B,74.8,91.9,54.4,43.3,67.3,70.2,0,Engaged High Achiever
177,Student_177,C,78.3,55.8,84.8,83.0,32.4,70.9,3,Distracted Low Engagement
178,Student_178,C,65.2,59.2,65.8,44.4,75.7,56.1,2,Steady Learner
179,Student_179,A,72.7,69.3,67.6,79.4,34.3,61.2,3,Distracted Low Engagement
180,Student_180,C,70.2,70.0,54.9,80.6,10.9,56.9,3,Distracted Low Engagement
181,Student_181,A,71.2,74.9,61.8,51.8,22.7,64.5,3,Distracted Low Engagement
182,Student_182,C,60.7,95.2,55.6,60.7,69.7,73.1,0,Engaged High Achiever
183,Student_183,B,70.3,62.3,65.6,51.6,41.9,55.8,2,Steady Learner
184,Student_184,C,76.0,53.0,92.0,63.2,34.0,68.4,1,Needs Attention
185,Student_185,A,87.4,44.3,48.8,62.0,48.2,46.2,2,Steady Learner
186,Student_186,A,81.5,54.0,45.4,76.1,55.0,57.7,2,Steady Learner
187,Student_187,B,95.8,64.5,88.6,83.0,67.3,78.2,1,Needs Attention
188,Student_188,C,60.8,91.9,65.1,84.1,74.0,65.1,0,Engaged High Achiever
189,Student_189,C,80.5,57.2,58.6,58.7,37.8,55.3,2,Steady Learner
190,Student_190,B,72.2,68.4,82.6,63.3,18.5,61.7,3,Distracted Low Engagement
191,Student_191,C,96.3,64.8,59.5,44.1,36.7,67.2,2,Steady Learner
192,Student_192,C,60.3,82.8,93.6,55.5,50.2,67.2,1,Needs Attention
193,Student_193,A,59.9,100.0,77.5,78.5,25.7,58.1,0,Engaged High Achiever
194,Student_194,C,62.8,57.0,61.2,87.0,25.9,47.0,3,Distracted Low Engagement
195,Student_195,C,44.5,57.7,98.2,50.0,51.9,53.9,1,Needs Attention
196,Student_196,B,63.7,80.7,59.5,58.3,44.0,64.9,0,Engaged High Achiever
197,Student_197,B,60.9,75.2,78.4,65.7,45.7,48.4,1,Needs Attention
198,Student_198,D,71.8,92.7,72.2,69.6,29.8,68.1,0,Engaged High Achiever
199,Student_199,A,74.1,73.8,86.2,55.5,40.4,65.1,1,Needs Attention
200,Student_200,C,92.5,59.6,89.9,71.5,26.5,81.0,1,Needs Attention
201,Student_201,C,81.4,73.9,68.4,59.8,62.8,66.4,1,Needs Attention
202,Student_202,D,63.1,81.6,57.5,65.8,65.7,66.3,0,Engaged High Achiever
203,Student_203,C,59.2,77.3,74.4,73.1,8.1,64.2,3,Distracted Low Engagement
204,Student_204,A,75.9,72.6,58.5,66.1,26.4,51.1,3,Distracted Low Engagement
205,Student_205,D,54.2,81.0,96.2,60.3,15.1,70.1,1,Needs Attention
206,Student_206,A,92.0,82.5,69.9,64.6,32.0,74.8,1,Needs Attention
207,Student_207,D,84.2,85.7,62.9,64.9,43.3,74.2,0,Engaged High Achiever
208,Student_208,D,64.4,74.7,70.6,61.2,16.0,85.6,3,Distracted Low Engagement
209,Student_209,B,49.4,62.5,49.1,62.6,26.6,38.5,3,Distracted Low Engagement
210,Student_210,A,86.2,67.2,54.4,86.8,24.9,78.2,3,Distracted Low Engagement
211,Student_211,C,68.6,83.1,84.8,73.3,49.1,70.0,1,Needs Attention
212,Student_212,C,84.9,52.7,58.8,62.2,46.4,63.8,2,Steady Learner
213,Student_213,A,50.9,70.5,53.3,75.1,30.6,56.1,0,Engaged High Achiever
214,Student_214,C,62.8,59.1,75.5,61.7,48.5,57.9,1,Needs Attention
215,Student_215,C,70.1,65.4,84.6,81.3,34.1,64.8,3,Distracted Low Engagement
216,Student_216,A,70.6,84.2,78.1,70.8,39.6,72.4,1,Needs Attention
217,Student_217,D,64.6,67.9,81.9,64.6,78.5,57.2,1,Needs Attention
218,Student_218,A,77.5,65.7,57.4,71.8,71.8,70.0,2,Steady Learner
219,Student_219,D,57.2,44.6,48.1,45.6,19.0,43.2,3,Distracted Low Engagement
220,Student_220,C,68.3,76.2,89.0,51.4,61.6,61.3,1,Needs Attention
221,Student_221,C,71.4,74.7,63.5,50.5,61.2,60.7,2,Steady Learner
222,Student_222,C,76.2,97.4,64.5,67.9,22.0,78.9,0,Engaged High Achiever
223,Student_223,B,78.5,60.4,86.6,88.5,61.4,69.1,1,Needs Attention
224,Student_224,D,56.5,68.3,75.8,95.0,75.8,69.4,0,Engaged High Achiever
225,Student_225,B,51.6,68.7,74.4,74.3,22.5,55.4,3,Distracted Low Engagement
226,Student_226,B,85.3,88.7,98.3,72.5,26.6,84.2,1,Needs Attention
227,Student_227,A,74.0,63.6,59.0,42.6,65.4,63.7,2,Steady Learner
228,Student_228,B,61.0,69.2,81.0,58.9,50.4,74.3,1,Needs Attention
229,Student_229,A,88.6,74.1,68.8,55.8,56.0,69.0,1,Needs Attention
230,Student_230,A,71.4,67.8,71.8,57.9,51.8,68.0,1,Needs Attention
231,Student_231,B,84.2,58.3,89.4,63.8,52.8,70.5,1,Needs Attention
232,Student_232,D,70.8,67.9,75.1,59.9,18.5,70.9,3,Distracted Low Engagement
233,Student_233,D,94.7,81.1,75.5,40.3,65.9,68.8,1,Needs Attention
234,Student_234,D,91.1,49.6,83.0,75.7,68.4,75.6,1,Needs Attention
235,Student_235,D,67.0,67.0,62.9,52.1,40.4,58.1,2,Steady Learner
236,Student_236,D,81.7,54.5,56.3,69.1,44.1,61.6,2,Steady Learner
237,Student_237,B,77.7,82.9,53.4,93.0,14.4,69.9,3,Distracted Low Engagement
238,Student_238,B,86.4,42.2,40.5,54.0,55.3,56.9,2,Steady Learner
239,Student_239,C,58.4,56.6,96.8,33.1,56.4,58.1,1,Needs Attention
240,Student_240,D,78.2,70.7,52.6,62.3,43.8,64.5,0,Engaged High Achiever
241,Student_241,B,82.7,88.5,64.9,80.3,67.5,84.8,0,Engaged High Achiever
242,Student_242,C,48.9,64.0,64.1,91.5,38.3,65.0,3,Distracted Low Engagement
243,Student_243,D,55.8,56.7,72.3,50.0,56.3,60.9,2,Steady Learner
244,Student_244,A,45.5,93.2,79.4,72.5,24.6,62.2,0,Engaged High Achiever
245,Student_245,C,66.8,43.3,80.0,60.0,44.5,52.7,2,Steady Learner
246,Student_246,B,78.6,32.0,59.8,64.6,41.5,61.1,2,Steady Learner
247,Student_247,A,88.0,71.6,65.7,100.0,49.5,80.2,3,Distracted Low Engagement
248,Student_248,A,70.9,57.5,72.0,46.5,37.6,67.7,2,Steady Learner
249,Student_249,A,89.5,49.7,64.5,69.3,42.4,61.1,2,Steady Learner
250,Student_250,C,53.4,75.6,90.5,72.1,61.5,65.5,1,Needs Attention
251,Student_251,B,49.6,68.7,74.9,80.1,36.3,51.0,3,Distracted Low Engagement
252,Student_252,A,69.3,56.5,78.3,67.3,12.9,59.0,3,Distracted Low Engagement
253,Student_253,D,74.6,45.8,77.3,70.0,80.0,69.8,2,Steady Learner
254,Student_254,A,69.6,78.1,84.4,60.9,72.6,67.3,1,Needs Attention
255,Student_255,A,45.2,74.8,70.5,69.5,19.2,61.6,3,Distracted Low Engagement
256,Student_256,C,68.9,63.5,49.8,61.5,58.8,57.6,2,Steady Learner
257,Student_257,C,54.3,92.7,73.6,74.1,34.9,69.0,0,Engaged High Achiever
258,Student_258,B,78.0,48.9,58.9,61.2,50.3,52.2,2,Steady Learner
259,Student_259,D,74.4,42.1,60.6,70.9,50.9,58.7,2,Steady Learner
260,Student_260,C,58.7,54.6,76.2,65.6,40.3,40.4,3,Distracted Low Engagement
261,Student_261,A,63.8,64.3,85.3,80.6,29.3,64.7,3,Distracted Low Engagement
262,Student_262,B,57.3,68.7,68.3,65.3,31.2,49.6,3,Distracted Low Engagement
263,Student_263,A,69.2,61.4,72.3,43.0,26.7,65.6,3,Distracted Low Engagement
264,Student_264,A,81.5,70.3,91.8,82.4,28.4,78.8,1,Needs Attention
265,Student_265,C,58.2,46.2,71.4,54.2,43.7,56.4,2,Steady Learner
266,Student_266,B,76.0,86.7,100.0,57.5,30.7,83.8,1,Needs Attention
267,Student_267,D,63.6,63.8,75.9,58.3,58.6,56.2,1,Needs Attention
268,Student_268,D,60.5,81.8,43.3,83.9,74.7,74.1,0,Engaged High Achiever
269,Student_269,C,68.7,70.1,78.5,38.2,33.4,66.9,1,Needs Attention
270,Student_270,C,57.6,71.9,73.3,100.0,49.8,66.0,0,Engaged High Achiever
271,Student_271,B,63.4,73.5,86.1,79.7,55.0,76.1,1,Needs Attention
272,Student_272,D,55.6,71.7,77.4,68.9,54.4,56.5,0,Engaged High Achiever
273,Student_273,D,93.6,74.6,66.1,65.3,46.5,67.1,1,Needs Attention
274,Student_274,D,70.4,84.9,50.9,69.7,59.9,62.3,0,Engaged High Achiever
275,Student_275,A,61.6,67.9,65.1,72.8,54.6,59.0,0,Engaged High Achiever
276,Student_276,D,72.6,75.6,56.1,74.4,20.2,57.7,3,Distracted Low Engagement
277,Student_277,A,68.7,63.7,59.9,73.2,62.4,69.9,2,Steady Learner
278,Student_278,B,67.3,86.6,76.2,67.2,62.7,68.8,0,Engaged High Achiever
279,Student_279,A,77.4,54.9,91.4,63.4,29.7,68.3,1,Needs Attention
280,Student_280,B,79.1,92.0,73.5,64.0,45.8,69.9,0,Engaged High Achiever
281,Student_281,D,63.6,64.4,51.3,63.5,58.7,47.0,2,Steady Learner
282,Student_282,D,63.1,43.5,74.2,80.7,40.8,60.4,3,Distracted Low Engagement
283,Student_283,B,66.7,66.9,84.8,73.7,66.5,56.6,1,Needs Attention
284,Student_284,C,42.4,54.8,59.5,27.8,92.3,46.7,2,Steady Learner
285,Student_285,B,51.8,77.6,66.1,74.5,29.3,52.6,0,Engaged High Achiever
286,Student_286,C,86.4,55.2,68.2,68.5,17.4,76.4,3,Distracted Low Engagement
287,Student_287,A,89.7,58.3,57.0,65.8,51.1,70.8,2,Steady Learner
288,Student_288,A,67.0,36.7,77.1,60.9,59.4,57.4,2,Steady Learner
289,Student_289,A,76.9,58.2,66.3,80.6,40.4,72.6,3,Distracted Low Engagement
290,Student_290,D,73.7,28.6,73.9,78.3,74.1,54.4,2,Steady Learner
291,Student_291,A,100.0,41.2,55.6,56.0,18.2,64.0,3,Distracted Low Engagement
292,Student_292,C,83.4,76.4,61.9,71.3,58.9,71.3,0,Engaged High Achiever
293,Student_293,A,68.5,76.8,78.1,53.4,32.9,66.6,1,Needs Attention
294,Student_294,B,58.5,71.4,62.8,48.1,79.4,66.8,2,Steady Learner
295,Student_295,B,50.7,50.5,92.2,57.9,84.9,63.6,1,Needs Attention
296,Student_296,D,72.4,64.3,62.4,77.2,29.7,65.1,3,Distracted Low Engagement
297,Student_297,B,60.9,64.9,71.1,78.4,34.0,52.3,3,Distracted Low Engagement
298,Student_298,C,52.9,47.6,81.1,72.7,62.2,52.2,2,Steady Learner
299,Student_299,A,62.2,87.6,48.1,75.4,37.3,62.6,0,Engaged High Achiever
300,Student_300,D,57.0,78.2,43.3,72.7,44.1,59.0,0,Engaged High Achiever
301,Student_301,A,90.2,61.7,46.6,57.7,45.5,56.0,2,Steady Learner
302,Student_302,A,80.6,65.4,85.7,71.6,6.6,83.2,3,Distracted Low Engagement
303,Student_303,C,69.9,68.1,60.3,76.4,44.7,72.9,0,Engaged High Achiever
304,Student_304,B,87.8,34.4,100.0,75.8,31.2,71.5,1,Needs Attention
305,Student_305,B,70.9,61.3,60.1,81.5,35.1,63.0,3,Distracted Low Engagement
306,Student_306,A,59.7,54.8,70.6,75.2,73.9,59.4,2,Steady Learner
307,Student_307,D,88.3,50.0,89.6,70.6,19.9,62.8,3,Distracted Low Engagement
308,Student_308,B,76.5,60.8,96.1,79.9,61.3,72.9,1,Needs Attention
309,Student_309,D,57.6,92.0,96.9,65.7,39.4,73.0,1,Needs Attention
310,Student_310,B,67.7,74.6,84.9,54.5,39.4,58.7,1,Needs Attention
311,Student_311,D,59.5,56.4,82.3,63.9,60.8,63.1,1,Needs Attention
312,Student_312,C,53.4,73.6,76.3,56.3,51.8,59.8,0,Engaged High Achiever
313,Student_313,D,81.1,86.0,78.9,57.2,56.4,61.6,1,Needs Attention
314,Student_314,C,92.9,78.9,60.3,64.1,64.4,67.3,2,Steady Learner
315,Student_315,C,53.2,65.9,56.5,55.7,38.4,51.5,0,Engaged High Achiever
316,Student_316,D,76.8,55.3,68.0,62.0,32.8,72.7,3,Distracted Low Engagement
317,Student_317,C,62.2,75.5,65.6,41.4,23.3,61.4,0,Engaged High Achiever
